1951_y,1951_x,1961_y,1961_x,1971_y,1971_x,1981_y,1981_x,1991_y,1991_x,2001_y,"2001_x, 2011_x",2011_y
30.3,Andaman and Nicobar Islands,40.07,Andaman and Nicobar Islands,51.15,Andaman and Nicobar Islands,63.19,Andaman and Nicobar Islands,73.02,Andaman and Nicobar Islands,81.3,Andaman and Nicobar Islands,86.6
18.53,Assam,21.19,Andhra Pradesh,24.57,Andhra Pradesh,35.66,Andhra Pradesh,44.08,Andhra Pradesh,60.47,Andhra Pradesh,67
13.49,Bihar,7.13,Arunachal Pradesh,11.29,Arunachal Pradesh,25.55,Arunachal Pradesh,41.59,Arunachal Pradesh,54.34,Arunachal Pradesh,65.4
9.41,Chhattisgarh,32.95,Assam,33.94,Assam,32.32,Bihar,52.89,Assam,63.25,Assam,72.2
23.48,Goa,21.95,Bihar,23.17,Bihar,74.8,Chandigarh,37.49,Bihar,47,Bihar,61.8
21.82,Gujarat,18.14,Chhattisgarh,70.43,Chandigarh,32.63,Chhattisgarh,77.81,Chandigarh,81.94,Chandigarh,86
12.93,Jharkhand,61.95,Delhi,24.08,Chhattisgarh,32.9,Dadra and Nagar Haveli,42.91,Chhattisgarh,64.66,Chhattisgarh,70.3
47.18,Kerala,35.41,Goa,18.13,Dadra and Nagar Haveli,71.94,Delhi,40.71,Dadra and Nagar Haveli,57.63,Dadra and Nagar Haveli,76.2
15.23,Lakshadweep,31.47,Gujarat,65.08,Delhi,65.71,Goa,71.2,Daman and Diu,78.18,Daman and Diu,87.1
13.16,Madhya Pradesh,12.95,Jammu and Kashmir,51.96,Goa,44.92,Gujarat,75.29,Delhi,81.67,Delhi,86.2
27.91,Maharashtra,21.14,Jharkhand,36.95,Gujarat,37.13,Haryana,75.51,Goa,82.01,Goa,88.7
12.57,Manipur,29.8,Karnataka,25.71,Haryana,30.64,Jammu and Kashmir,61.29,Gujarat,69.14,Gujarat,78
31.14,Mizoram,55.08,Kerala,21.71,Jammu and Kashmir,35.03,Jharkhand,55.85,Haryana,67.91,Haryana,75.6
10.52,Nagaland,27.15,Lakshadweep,23.87,Jharkhand,46.21,Karnataka,63.86,Himachal Pradesh,76.48,Himachal Pradesh,82.8
15.8,Odisha,21.41,Madhya Pradesh,36.83,Karnataka,78.85,Kerala,41.39,Jharkhand,55.52,Jammu and Kashmir,67.2
8.5,Rajasthan,35.08,Maharashtra,69.75,Kerala,68.42,Lakshadweep,56.04,Karnataka,53.56,Jharkhand,66.4
18.93,Uttarakhand,36.04,Manipur,51.76,Lakshadweep,38.63,Madhya Pradesh,89.81,Kerala,66.64,Karnataka,75.4
12.02,Uttar Pradesh,26.92,Meghalaya,27.27,Madhya Pradesh,57.24,Maharashtra,81.78,Lakshadweep,90.86,Kerala,94
24.61,West Bengal,44.01,Mizoram,45.77,Maharashtra,49.66,Manipur,44.67,Madhya Pradesh,86.66,Lakshadweep,91.8
,,21.95,Nagaland,38.47,Manipur,42.05,Meghalaya,64.87,Maharashtra,63.74,Madhya Pradesh,69.3
,,21.66,Odisha,29.49,Meghalaya,59.88,Mizoram,59.89,Manipur,76.88,Maharashtra,82.3
,,43.65,Puducherry,53.8,Mizoram,50.28,Nagaland,49.1,Meghalaya,70.53,Manipur,76.9
,,18.12,Rajasthan,33.78,Nagaland,33.62,Odisha,82.26,Mizoram,62.56,Meghalaya,74.4
,,36.39,Tamil Nadu,26.18,Odisha,65.14,Puducherry,61.65,Nagaland,88.8,Mizoram,91.3
,,20.24,Tripura,53.38,Puducherry,43.37,Punjab,49.09,Odisha,66.59,Nagaland,79.6
,,18.05,Uttarakhand,34.12,Punjab,30.11,Rajasthan,74.74,Puducherry,63.08,Odisha,72.9
,,20.87,Uttar Pradesh,22.57,Rajasthan,34.05,Sikkim,58.51,Punjab,81.24,Puducherry,85.8
,,34.46,West Bengal,17.74,Sikkim,54.39,Tamil Nadu,38.55,Rajasthan,69.65,Punjab,75.8
,,,,45.4,Tamil Nadu,50.1,Tripura,56.94,Sikkim,60.41,Rajasthan,66.1
,,,,30.98,Tripura,46.06,Uttarakhand,62.66,Tamil Nadu,68.81,Sikkim,81.4
,,,,33.26,Uttarakhand,32.65,Uttar Pradesh,60.44,Tripura,73.45,Tamil Nadu,80.1
,,,,23.99,Uttar Pradesh,48.65,West Bengal,57.75,Uttarakhand,73.19,Tripura,87.2
,,,,38.86,West Bengal,,,40.71,Uttar Pradesh,71.62,Uttarakhand,78.8
,,,,,,,,57.7,West Bengal,56.27,Uttar Pradesh,67.7
,,,,,,,,,,68.64,West Bengal,76.3
