Geographical Area in sq. Km,State/UT,Forest Cover in sq. Km
275069,Andhra Pradesh,46389
83743,Arunachal Pradesh,67410
78438,Assam,27673
94163,Bihar,6845
135191,Chhattisgarh,55674
1483,Delhi,176
3702,Goa,2219
196022,Gujarat,14619
44212,Haryana,1608
55673,Himachal Pradesh,14679
222236,Jammu & Kashmir,22539
79714,Jharkhand,22977
191791,Karnataka,36194
38863,Kerala,17300
308245,Madhya Pradesh,77700
307713,Maharashtra,50646
22327,Manipur,17090
22429,Meghalaya,17275
21081,Mizoram,19117
16579,Nagaland,13318
155707,Orissa,48903
50362,Punjab,1764
342239,Rajasthan,16087
7096,Sikkim,3359
130058,Tamil Nadu,23625
10486,Tripura,7977
240928,Uttar Pradesh,14338
53483,Uttarakhand,24496
88752,West Bengal,12995
8249,A&NIslands,6724
114,Chandigarh,17
491,Dadra & Nagar   Haveli,211
112,Daman & Diu,6
32,Lakshadweep,27
480,Puducherry,50
